"Codest","Municipio","TipoEstacao","Nome","Latitude","Longitude"
2346007,"Atibaia",2,"ATIBAIA",-23.15,-46.55
2346009,"Atibaia",2,"ATIBAIA",-23.1167,-46.55
2346012,"Jundiai",2,"JUNDIAÍ - IA",-23.1167,-46.9333
2346013,"Jundiai",2,"JUNDIAÍ (CPEF)",-23.1833,-46.8667
2346020,"Mairipora",2,"MAIRIPORÃ",-23.3167,-46.5833
2346095,"Atibaia",2,"ATIBAIA",-23.1033,-46.5581
2346097,"Jundiai",2,"JUNDIAÍ",-23.1864,-46.8767
2346111,"Jundiai",2,"JUNDIAÍ",-23.2,-46.8667
2346112,"Mairipora",2,"MAIRIPORÃ",-23.3833,-46.6333
2346135,"Mairipora",2,"MAIRIPORÃ",-23.3333,-46.5833
2346155,"Mairipora",2,"MAIRIPORÃ",-23.5,-46.7167
2346156,"Jundiai",2,"JUNDIAÍ",-23.2,-46.8833
2346257,"Campo Limpo",2,"CAMPO LIMPO",-23.2167,-46.7833
2346272,"Atibaia",2,"ATIBAIA  P12-086",-23,-46
2346289,"Campo Limpo",2,"CAMPO LIMPO PAULISTA",-23.2167,-46.7833
2346294,"Jundiai",2,"JUNDIAÍ (DEMA)",-23.1833,-46.95
2346322,"Jundiai",2,"JUNDIAÍ (EFS)",-23.2,-46.8833
2346391,"Atibaia",2,"ATIBAIA (SE) - ATI",-23.1167,-46.55
2346449,"Atibaia",2,"ATIBAIA",-23.1053,-46.5558
2346471,"Atibaia",2,"ATIBAIA_Guaxinduva",-23.1068,-46.5058
2346472,"Atibaia",2,"ATIBAIA_Estrada da Usina",-23.077,-46.6407
2346473,"Atibaia",2,"ATIBAIA_Estrada dos Pintos",-23.2184,-46.5478
2346474,"Atibaia",2,"ATIBAIA_Itapetinga",-23.1487,-46.5467
2346489,"Campo Limpo",2,"CAMPO LIMPO PAULISTA_Estância",-23.202,-46.717
2346490,"Campo Limpo",2,"CAMPO LIMPO PAULISTA_Avenida João Amato",-23.201,-46.795
2346491,"Campo Limpo",2,"CAMPO LIMPO PAULISTA_Conjunto Hab. São José",-23.2176,-46.7597
2346569,"Jundiai",2,"JUNDIAÍ_Jardim Tamoio",-23.1925,-46.8525
2346570,"Jundiai",2,"JUNDIAÍ_Jardim Florestal",-23.1639,-46.8964
2346571,"Jundiai",2,"JUNDIAÍ_Jardim Santa Gertrudes",-23.2475,-46.8553
2346572,"Jundiai",2,"JUNDIAÍ_Fazenda Grande",-23.1714,-46.9642
2346573,"Jundiai",2,"JUNDIAÍ_Roseira",-23.1433,-46.8186
2346575,"Mairipora",2,"MAIRIPORÃ_Vila Nova Juqueri",-23.3217,-46.5858
2346576,"Mairipora",2,"MAIRIPORÃ_Estrada da Roseira",-23.3394,-46.6008
2346577,"Mairipora",2,"MAIRIPORÃ_Apolinário",-23.3703,-46.6111
2347007,"Indaiatuba",2,"INDAIATUBA",-23.0833,-47.2167
2347013,"Itupeva",2,"ITUPEVA (EFS)",-23.15,-47.0667
2347057,"Itupeva",2,"ITUPEVA",-23.1511,-47.0578
2347106,"Indaiatuba",2,"INDAIATUBA",-23.1,-47.2167
2347123,"Salto",2,"SALTO (EFS)",-23.2167,-47.2833
2347145,"Salto",2,"SALTO",-23.2,-47.3
2347223,"Indaiatuba",2,"INDAIATUBA_Fatec",-23.0855,-47.2061
2347230,"Itupeva",2,"ITUPEVA_Guacuri",-23.214,-47.078
2347231,"Itupeva",2,"ITUPEVA_Santa Fé",-23.158,-47.04
2347232,"Itupeva",2,"ITUPEVA_Parque dos Cafezais",-23.186,-47.107
