"Codigo","Municipio","mk6Z","mk6p.value","mk6Zc","mk6Corrected p.value","mk6tau","mk6N/N*s","mk6SensSlope","mk12Z","mk12p.value","mk12Zc","mk12Corrected p.value","mk12tau","mk12N/N*s","mk12SensSlope","mk24Z","mk24p.value","mk24Zc","mk24Corrected p.value","mk24tau","mk24N/N*s","mk24SensSlope"
"1","Bacia (Valor médio)","3.8178622797604","0.000134613030816579","1.72566581074644","0.0844075522186766","0.100652606793506","4.89471181144184","0.000775783982069898","5.45929930599764","4.78017333712926e-08","2.14832742033829","0.031687754076694","0.144604721424128","6.45762567627883","0.00109814207677281","7.2844072320289","3.23087703904818e-13","2.15372845273786","0.0312614734560779","0.1948","11.4394868313314","0.00160351175888859"
"3504107","ATIBAIA","0.0323454202964201","0.97419658797892","0.0127086352712716","0.989860249073111","0.000857545675208209","6.47780343686398","1.14148667066617e-05","0.322626304963365","0.746978269695576","0.100644377071154","0.919832767723464","0.00855029965542095","10.2759153028905","6.8067867426311e-05","0.162046179046056","0.871269488786894","0.039449859013373","0.968531729078785","0.00433846153846154","16.872781373347","4.33513234995515e-05"
"3508405","CABREÚVA","4.98376765680863","6.2357952724606e-07","2.21182137308153","0.026979009717613","0.131388594158031","5.07709715217814","0.00109852029615017","6.91493849823559","4.6806639444692e-12","2.12118049467399","0.0339066160591116","0.18316005647542","10.6272621521814","0.00144084780879991","9.49744025710758","2.15112923886651e-21","2.25480343739729","0.0241456694328616","0.253979487179487","17.7417217695031","0.00208744174952046"
"3509601","CAMPO LIMPO PAULISTA","0.716009985652571","0.473985183061737","0.192705328745068","0.847189749943986","0.0188805395270418","13.805454537505","0.000153324852961844","0.292432508658301","0.769955955651197","0.0669292560101618","0.946638022322606","0.00775056031120721","19.0905879977669","6.0139704180556e-05","0.431292138076425","0.666255966143527","0.0895760889846098","0.928624086230382","0.0115384615384615","23.1824264120118","0.000115570626921136"
"3520509","INDAIATUBA","1.97380576127018","0.0484038335039499","1.348697775729","0.177434060262679","0.0520389723017592","2.14180309613888","0.000400463548388215","2.90810989967844","0.0036362052630345","1.67233318990609","0.0944586383788002","0.0770316835006862","3.02395978660613","0.000588911776597361","3.44400867395043","0.000573157314071699","1.61007676185278","0.107381099487596","0.0921025641025641","4.57546575630906","0.000674892227515966"
"3523909","ITU","5.50570512068268","3.67693553630824e-08","1.78673979285084","0.0739795543541552","0.145148084087925","9.49518159828402","0.00105344226093862","6.58280673887989","4.61649062094376e-11","1.89449974128058","0.0581587086752108","0.174362923689069","12.0734978612005","0.00119974268073289","10.4501567275227","1.4628328836933e-25","2.14048117813271","0.0323159002973808","0.27945641025641","23.8354184731201","0.00183559563554473"
"3524006","ITUPEVA","3.63150855146171","0.000281769318877667","1.73163735734358","0.0833381504394189","0.0957398875016351","4.39805088124961","0.000830189243133395","4.86026929782188","1.17226180501009e-06","1.98973637664235","0.0466199832891657","0.128738287767937","5.96663658818576","0.00113231773945959","6.26917353750841","3.62969431715206e-10","1.98349085565719","0.0473126274908971","0.167651282051282","9.98987785643267","0.0015239094527618"
"3525201","JARINU","3.97334083413978","7.08715228268678e-05","1.72322765682351","0.0848473641955812","0.104751384427552","5.31650624922842","0.000816145706674553","6.14779241433656","7.85687653904569e-10","2.1838061810253","0.0289764932161566","0.162840753137249","7.92519957755035","0.00121519236577603","8.70312632384277","3.22864188289952e-18","2.47496684716914","0.0133248544308207","0.232738461538462","12.3655034473744","0.00182476739331743"
"3525904","JUNDIAÍ","3.69950744640304","0.00021601830257541","0.976409277698872","0.328861685723335","0.0975324971051777","14.355688194392","0.000839716054481121","3.77217434208755","0.000161831112003432","0.829164831328123","0.407011142449764","0.0999180514005312","20.6967315511474","0.000917843043718474","3.61621869617925","0.000298937845748331","0.685509475544858","0.493022483362284","0.0967076923076923","27.8280291671656","0.00089384541142369"
"3528502","MAIRIPORÃ","4.06964197184049","4.70854399129291e-05","2.15441160999684","0.031207906898445","0.107290107217434","3.56824812127279","0.000909926249261942","6.61635540144107","3.68162643915859e-11","3.45442066660061","0.000551476439650778","0.175251522960418","3.66848886039508","0.00146772868758446","10.1241466631697","4.31728058007015e-24","4.4419612474492","8.91426172476493e-06","0.270738461538462","5.19478197741218","0.00230599146116277"
"3545209","SALTO","4.01597797907597","5.91997836384627e-05","1.7238893280084","0.084727824263181","0.105875399097881","5.42705075620865","0.000804470904151087","5.13275899040214","2.85525430270877e-07","1.72278755387345","0.0849269503179972","0.135955688516335","8.87642920328371","0.00094675705817141","7.31010449592496","2.66934716308106e-13","1.94598406095609","0.0516566542673713","0.195487179487179","14.1113515937643","0.00141799772318955"
"3556503","VÁRZEA PAULISTA","1.13025190240331","0.258370095193058","0.276117373504706","0.782457917071899","0.0298009234361904","16.7557173676322","0.000252028418148425","1.14941445563782","0.250385122119901","0.252873270602758","0.800366145285187","0.0304493350315453","20.6608154376582","0.000273776649916915","0.699003932098074","0.48454957349639","0.133832457636054","0.893535060584397","0.0186974358974359","27.2794952998339","0.000172650294138097"
